Inverse-Dynamic-MSE,Valid-InvDyn-MSE,Disc CE Loss,Disc Acc,Grad Pen,Grad Pen W,Disc Rew Mean,Disc Rew Std,Disc Rew Max,Disc Rew Min,Total Rew Mean,Total Rew Std,Total Rew Max,Total Rew Min,Test Rewards Mean,Test Rewards Std,Test Rewards Max,Test Rewards Min,Test Returns Mean,Test Returns Std,Test Returns Max,Test Returns Min,Test Actions Mean,Test Actions Std,Test Actions Max,Test Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Test Pred_Real_MSE,Exploration Rewards Mean,Exploration Rewards Std,Exploration Rewards Max,Exploration Rewards Min,Exploration Returns Mean,Exploration Returns Std,Exploration Returns Max,Exploration Returns Min,Exploration Actions Mean,Exploration Actions Std,Exploration Actions Max,Exploration Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.045012724,0.086534396,0.27217126,0.9589844,0.007966446,4.0,-2.1626112,1.9984694,-0.21493009,-9.760785,7.837389,1.9984694,9.785069,0.2392149,2.8435278375748605,0.5874689312490239,4.665578947017964,0.9336350290620892,1305.9547850389267,676.0587920129244,2925.883987305333,873.7235365883372,0.106811605,0.8354591,1.0,-1.0,459.27272727272725,226.55747450966683,1000,321,10,2.684004856159742,2.7271831220302576,0.8713759977019151,5.691871683917003,-4.375219828315388,2727.1831220302574,313.9321005633435,3047.1189022653157,2011.9075189002663,0.049368367,0.8834877,1.0,-1.0,1000.0,0.0,1000,1000,1305.9547850389267,210,210000,215,114.39181018300224,6.311597779000294,14.067302675000974,134.7707106370035,2948.790878766991,20
0.038115963,0.09016419,0.27071807,0.96875,0.002611218,4.0,-2.5323014,2.3729458,-0.27112797,-10.000046,7.467699,2.3729446,9.728872,0.0,2.7881021878534864,0.5106602728712473,4.984271902725899,0.9487717046271655,1751.276686745471,555.5842156774962,2747.668235260116,1043.383609567148,0.09852062,0.84045947,1.0,-1.0,628.125,202.70633777709074,1000,380,10,3.102823302628492,2.4538226622984456,1.1703577108628747,6.374231039964688,-5.182276743768682,2453.822662298445,538.8564982821165,2993.8278883845824,1520.753452589222,0.055159632,0.8963618,1.0,-1.0,1000.0,0.0,1000,1000,1751.276686745471,220,220000,225,109.30710346400156,6.245163945000968,13.52651390200117,129.0787813110037,3077.730945985997,21
0.04086892,0.078303285,0.25310653,0.98046875,0.0043842895,4.0,-2.5394616,2.476205,-0.3556914,-9.775449,7.460539,2.4762053,9.644309,0.2245512,2.963646799510206,0.46476092574608696,4.811141057355237,0.9674079916022573,2808.7288986267176,491.3669069831652,2998.6415915948764,1257.0675731302756,0.14054175,0.8417044,1.0,-1.0,947.7272727272727,165.3008776906198,1000,425,10,1.8253265879926661,2.7806454016670994,0.9955713961779871,6.097269016235288,-4.442770299036266,2780.645401667099,220.59232092100916,3026.9303867886933,2402.513383251873,0.096188165,0.8863395,1.0,-1.0,1000.0,0.0,1000,1000,2808.7288986267176,230,230000,235,121.31625638299556,6.106088997999905,13.759118454998315,141.18146383599378,3219.344532204994,22
0.042048614,0.07140033,0.28005797,0.9667969,0.0032694682,4.0,-1.7822073,1.3435236,-0.2942404,-8.393068,8.2177925,1.3435236,9.70576,1.6069317,3.0928477548064133,0.4597883467834573,4.251971724630113,0.9687294075807554,3092.8477548064125,26.091153896012454,3139.80778491048,3041.6915484433216,0.13040414,0.7892789,1.0,-1.0,1000.0,0.0,1000,1000,10,1.4851262176657973,3.0034196459099824,0.46267830954569866,4.34760065997823,0.9677413258623374,3003.419645909981,97.43819060065415,3133.0304462772656,2795.6800281240203,0.089396104,0.8721192,1.0,-1.0,1000.0,0.0,1000,1000,3092.8477548064125,240,240000,245,112.08882678899681,6.532882913001231,13.591642891997253,132.2133525939953,3351.3832265189867,23
0.027413256,0.06870181,0.3112545,0.95703125,0.0033676936,4.0,-1.5334749,1.1792816,-0.4020628,-9.104704,8.466525,1.1792816,9.597938,0.8952961,3.2039439517791646,0.6651236137171748,5.220586662919221,0.9679396248936817,1564.4400610258836,867.0370524887836,3136.4379251876476,1010.1991841828118,0.06042583,0.76613003,1.0,-1.0,488.2857142857143,286.67040022881145,1000,312,10,3.830668069597979,3.0168799231859906,0.7181599368514588,4.51473919876543,-4.825418688290711,3016.879923185989,246.20365575802884,3231.4502564796703,2300.0217722359566,0.096597195,0.87022525,1.0,-1.0,1000.0,0.0,1000,1000,1564.4400610258836,250,250000,255,111.13168338799915,6.3590601369996875,13.489370454997697,130.98011397999653,3482.3010811339846,24
0.06671068,0.06458328,0.33124477,0.9589844,0.0048684706,4.0,-1.5105882,1.1473092,-0.36277542,-7.62297,8.489412,1.1473092,9.637224,2.37703,3.0743082620532105,0.4556124266659066,4.316136529810777,0.9701153339545824,3074.3082620532105,20.842191452499144,3115.2761356067394,3034.0077041363074,0.15436266,0.7905498,1.0,-1.0,1000.0,0.0,1000,1000,10,1.7078464234335309,2.987732779939352,0.856495902466743,5.304142410225611,-5.654813492283054,2987.7327799393506,192.39773229757085,3202.2880781064014,2618.0650943780925,0.10341284,0.8684622,1.0,-1.0,1000.0,0.0,1000,1000,3074.3082620532105,260,260000,265,109.75652918200103,6.303631450000466,13.442050424000627,129.50221105600212,3611.6504350359883,25
0.056274343,0.07076031,0.35152087,0.9296875,0.0041548004,4.0,-1.7223794,1.6872219,-0.41724154,-8.201384,8.27762,1.6872219,9.582759,1.7986164,1.1861011421294383,0.22571218982971292,1.5602139090352718,0.876681641473821,32.21116407934715,0.8397134355567857,35.50836899800569,30.31135425397543,0.41129267,0.54657304,1.0,-0.9998123,27.15718157181572,0.5228737271190345,29,26,10,1.6838086256304448,2.9843434253665966,0.817607404689858,4.975749890182265,-4.384759166150357,2984.3434253665973,502.64826075562985,3290.3250628904552,1506.9963983931632,0.05582429,0.8680981,1.0,-1.0,1000.0,0.0,1000,1000,32.21116407934715,270,270000,275,113.69587017500271,6.151757628998894,13.370740010996087,133.2183678149977,3744.739312257987,26
0.08468415,0.05964439,0.36809114,0.9433594,0.0033898917,4.0,-1.4569876,1.2137791,-0.3826816,-8.093845,8.543013,1.2137791,9.617318,1.9061546,3.1664397353676597,0.45247591821627753,4.38988866927307,0.9677445742868123,3166.4397353676595,15.39691853591172,3187.5869967432386,3142.7018935145775,0.13360332,0.76776254,1.0,-1.0,1000.0,0.0,1000,1000,10,1.0774510314288765,3.148739002097769,0.4749026369677878,4.579044588682675,0.8013479606472608,3148.7390020977687,27.052135418976015,3202.623782229614,3096.983661140711,0.102124505,0.85937744,1.0,-1.0,1000.0,0.0,1000,1000,3166.4397353676595,280,280000,285,117.85659785000098,6.02223591099937,13.227808108995305,137.10664186999566,3882.147184040985,27
0.029517466,0.061768316,0.37481725,0.94140625,0.0035841444,4.0,-2.0208955,2.1602044,-0.18977064,-8.237809,7.9791045,2.1602044,9.810229,1.7621908,3.0763589860158302,0.5014039261881159,5.11996126338552,0.9681277067917906,3012.3147853069563,165.0803408966343,3207.439832996323,2545.316803595059,0.105384596,0.7570847,1.0,-1.0,979.1818181818181,65.8328712889599,1000,771,10,1.191590527681864,2.5391893773326832,1.1519550938360015,5.335487721053596,-1.0650944427640754,2539.189377332683,655.2579928839817,3260.8417534694618,1504.0205635797586,0.18422504,0.85937834,1.0,-1.0,1000.0,0.0,1000,1000,3012.3147853069563,290,290000,295,120.39175430599789,6.31993487300133,13.52525724300358,140.2369464220028,4022.711649879986,28
0.044119585,0.05510587,0.36661828,0.9375,0.004080777,4.0,-2.4758499,2.6854162,-0.29639602,-8.556863,7.52415,2.6854162,9.703604,1.4431372,3.0480152983242808,0.5266578765528249,4.38978894675019,0.9662670832618021,3048.0152983242815,9.9797749602728,3067.319604069935,3033.0931048445977,0.26631564,0.7933998,1.0,-1.0,1000.0,0.0,1000,1000,10,7.5350942498687425,2.788987862916053,0.8331707252336154,4.9207324292652475,0.22770505296334764,2788.987862916053,495.50391388053623,3167.0666957174903,1717.0562268406156,0.14204293,0.86733836,1.0,-1.0,1000.0,0.0,1000,1000,3048.0152983242815,300,300000,305,118.94853065700227,6.6531407780003065,13.544947086998945,139.14661852200152,4161.3960622189825,29
